noopt,nocache,R,4,262
noopt,nocache,S,4,227
noopt,nocache,R,64,468
noopt,nocache,S,64,414
noopt,nocache,R,256,1054
noopt,nocache,S,256,1004
opt,nocache,R,4,87
opt,nocache,S,4,78
opt,nocache,R,64,97
opt,nocache,S,64,86
opt,nocache,R,256,120
opt,nocache,S,256,113
noopt,icache,R,4,233
noopt,icache,S,4,213
noopt,icache,R,64,456
noopt,icache,S,64,405
noopt,icache,R,256,1020
noopt,icache,S,256,995
opt,icache,R,4,74
opt,icache,S,4,71
opt,icache,R,64,77
opt,icache,S,64,77
opt,icache,R,256,96
opt,icache,S,256,92
noopt,dcache,R,4,249
noopt,dcache,S,4,223
noopt,dcache,R,64,439
noopt,dcache,S,64,439
noopt,dcache,R,256,1060
noopt,dcache,S,256,1057
opt,dcache,R,4,85
opt,dcache,S,4,81
opt,dcache,R,64,94
opt,dcache,S,64,87
opt,dcache,R,256,117
opt,dcache,S,256,113
noopt,bcache,R,4,239
noopt,bcache,S,4,214
noopt,bcache,R,64,452
noopt,bcache,S,64,428
noopt,bcache,R,256,1080
noopt,bcache,S,256,995
opt,bcache,R,4,73
opt,bcache,S,4,72
opt,bcache,R,64,77
opt,bcache,S,64,75
opt,bcache,R,256,96
opt,bcache,S,256,93
